Model,Test_R2,Train_R2,CV_R2_Mean,CV_R2_Std,Test_MSE,Test_MAE,Processing_Time
Random Forest,0.4239469843875213,0.9138738227650991,0.35176133139642235,0.08890527005239057,0.19852558069285348,0.3545027390626395,10.472103834152222
LightGBM,0.37577769337252775,0.9174501840020908,0.29932302841584785,0.1024836791352605,0.21512619940525987,0.3630599483055888,989.9747931957245
XGBoost,0.34771913853926706,0.9997812419218884,0.22492449063063882,0.09654687989543244,0.22479604009822593,0.3701727843539142,648.5279629230499
PCA + Linear Regression,0.17771701290127895,0.10199932710943582,0.07784496908789751,0.02991739160000429,0.28338399953355176,0.439197311428914,3.157050371170044
PCA + Ridge Regression,0.17759221272176884,0.10199908220157705,0.07796634705621666,0.02981988852838342,0.2834270095125577,0.4392554480653519,3.191983461380005
Linear Regression,0.15689562392240908,0.11864949457927343,-0.014599410231276599,0.23967280764369486,0.29055969035684687,0.4440638077462917,7.838911771774292
Ridge Regression,0.15687421595265594,0.11864907564435234,-0.01193394808447763,0.234426624439067,0.2905670682014402,0.44408642176901314,7.817420959472656
SVM (RBF),0.15592396872473635,0.40986054451972953,0.161997789638559,0.050189531835747814,0.2908945526127906,0.4290638689687863,7.866644382476807
PCA + Random Forest,0.13056819434846456,0.8739217630460409,0.08978326826291896,0.04355409272017351,0.29963293205971403,0.43512578282621694,4.844473838806152
PCA + SVM (RBF),0.11376321277623647,0.30112734905251237,0.12166824049450901,0.02202217126551577,0.30542444540091596,0.4379591672401358,3.1355769634246826
PCA + LightGBM,0.07716837002744814,0.8437292349343251,-0.004536500273405064,0.06642536318904085,0.31803615336904884,0.44183550443098796,538.0400652885437
PCA + Lasso Regression,0.05145896469972022,0.033471503843437445,0.018053678096661873,0.018140033160367195,0.32689640491469596,0.477961258581691,3.067178964614868
Lasso Regression,0.02970270062658198,0.019489546367988386,0.006495433919878524,0.012226317240996779,0.33439428243944863,0.4841338105831421,7.946478366851807
PCA + XGBoost,-0.026203710886783638,0.9994614682184317,-0.024983918846742358,0.09412541854078849,0.3536613507636095,0.458157998976885,239.61809611320496
