youtube_top_jp_bimonthly_all
video_id,title,category_id,video_duration,tags_count,views,likes,comment_count,thumbnail_link,description_length,time_duration,published_at,subscribers,keyword,thumbnail_path,object_complexity,element_complexity,brightness,colorfulness
Mv6sobZeK2I,🇮🇳 india vs 🇵🇰 Pakistan Funny AI Samosa Challenge #ai #india #pakistan,22,48.0,0,70311896,2863842,24920,https://i.ytimg.com/vi/Mv6sobZeK2I/hqdefault.jpg,387,29,2025-06-12T01:49:00Z,2830000,AI,thumbnails/Mv6sobZeK2I.jpg,6,3,67.2394386574074,69.2787412686039
mayHixeNKhc,🇮🇳 India VS 🇵🇰 Pakistan Big Fight Between Dogs #ai #india #pakistan,22,54.0,7,62651760,1367733,21402,https://i.ytimg.com/vi/mayHixeNKhc/hqdefault.jpg,67,7,2025-07-04T03:36:00Z,2700000,AI,thumbnails/mayHixeNKhc.jpg,5,4,55.60015625,38.15177864927040
f7SF7tWQUuU,The Cat's Transformation，The Struggle of a Fat Cat #ai #cartoon#cat,22,53.0,0,50100242,926683,1278,https://i.ytimg.com/vi/f7SF7tWQUuU/hqdefault.jpg,25,7,2025-07-04T04:04:57Z,144000,AI,thumbnails/f7SF7tWQUuU.jpg,8,7,89.09784143518520,28.282790624598700
VDPp4mJkmHE,Every Day Dogs Waits… But She Never Came Back 😢#ai #dog #shorts,22,68.0,10,42756783,1472093,2300,https://i.ytimg.com/vi/VDPp4mJkmHE/hqdefault.jpg,990,18,2025-06-22T17:26:31Z,376000,AI,thumbnails/VDPp4mJkmHE.jpg,6,4,55.803015046296300,37.74866004265930
1fcI46JkSZY,Heroic Pup Rescued The Baby | AI Rescue Story | #Rescue #Story #AI,15,74.0,5,38086254,421365,183,https://i.ytimg.com/vi/1fcI46JkSZY/hqdefault.jpg,506,24,2025-06-17T06:43:27Z,171000,AI,thumbnails/1fcI46JkSZY.jpg,5,2,39.85887731481480,18.41702403792390
ejQU71CPI7g,Indian Army baby saves bus from falling into ditch 😭 #ai #baby,22,28.0,3,39896532,643855,490,https://i.ytimg.com/vi/ejQU71CPI7g/hqdefault.jpg,62,21,2025-06-19T13:32:57Z,2010000,AI,thumbnails/ejQU71CPI7g.jpg,3,2,80.05777199074080,34.32062837325900
V4i5jPYv_7s,Real life vs AI. Part 7,23,13.0,7,35647552,602379,653,https://i.ytimg.com/vi/V4i5jPYv_7s/hqdefault.jpg,76,15,2025-06-25T11:01:01Z,12900000,AI,thumbnails/V4i5jPYv_7s.jpg,2,1,72.00215856481480,26.618843183212000
37xbso9HpRs,"India vs Pakistan: Funny AI Men Dance-Off | Comedy Battle of Moves!"" #ai #india #pakistan",22,57.0,0,28975067,1307706,6217,https://i.ytimg.com/vi/37xbso9HpRs/hqdefault.jpg,433,26,2025-06-15T01:49:01Z,2830000,AI,thumbnails/37xbso9HpRs.jpg,2,1,90.29182291666670,62.57407497491410
jyDyCwwpqTs,A soldier rescued a child who was buried alive 👧 #ai #army,22,35.0,5,24511431,818130,384,https://i.ytimg.com/vi/jyDyCwwpqTs/hqdefault.jpg,58,14,2025-06-26T14:35:50Z,262000,AI,thumbnails/jyDyCwwpqTs.jpg,5,2,96.84028935185190,30.61007929045950
sN8KrOWAI7c,#duck #funny #funnyduck  #ai #cuteduck,15,67.0,0,26542075,413585,515,https://i.ytimg.com/vi/sN8KrOWAI7c/hqdefault.jpg,0,12,2025-06-29T04:00:06Z,112000,AI,thumbnails/sN8KrOWAI7c.jpg,2,2,85.06607638888890,40.714497851382300
B4OW__4tOQY,"The little mermaid is infected, the puppy help 🌟#magic #ai #youtubeshorts",22,62.0,0,24219811,1679494,5235,https://i.ytimg.com/vi/B4OW__4tOQY/hqdefault.jpg,252,27,2025-06-14T03:28:14Z,1680000,AI,thumbnails/B4OW__4tOQY.jpg,6,2,58.14403935185190,72.82234364708310
