video_id,title,category_id,video_duration,tags_count,views,thumbnail_link,description_length,time_duration,published_at,keyword,thumbnail_path,object_complexity,element_complexity,brightness,colorfulness
mayHixeNKhc,🇮🇳 India VS 🇵🇰 Pakistan Big Fight Between Dogs #ai #india #pakistan,22,54.0,7,63103421,https://i.ytimg.com/vi/mayHixeNKhc/hqdefault.jpg,67,10,2025-07-04T03:36:00Z,AI,thumbnails/mayHixeNKhc.jpg,5.0,4.0,55.60015625,38.1517786492704
f7SF7tWQUuU,The Cat's Transformation，The Struggle of a Fat Cat #ai #cartoon#cat,22,53.0,0,53453209,https://i.ytimg.com/vi/f7SF7tWQUuU/hqdefault.jpg,25,10,2025-07-04T04:04:57Z,AI,thumbnails/f7SF7tWQUuU.jpg,8.0,7.0,89.0978414351852,28.2827906245987
Lgk3UGrijJI,Ronaldo Messi and ishowspeed Ai Edit Video 😂#ronaldo #messi #ishowspeed #fyp #story #edit #memes,24,6.0,15,99546898,https://i.ytimg.com/vi/Lgk3UGrijJI/hqdefault.jpg,1043,5,2025-07-08T06:36:47Z,AI,thumbnails/Lgk3UGrijJI.jpg,13.0,2.0,76.3283854166667,47.8550893267489
VDPp4mJkmHE,Every Day Dogs Waits… But She Never Came Back 😢#ai #dog #shorts,22,68.0,10,43905191,https://i.ytimg.com/vi/VDPp4mJkmHE/hqdefault.jpg,990,21,2025-06-22T17:26:31Z,AI,thumbnails/VDPp4mJkmHE.jpg,6.0,4.0,55.8030150462963,37.7486600426593
1fcI46JkSZY,Heroic Pup Rescued The Baby | AI Rescue Story | #Rescue #Story #AI,15,74.0,5,38963521,https://i.ytimg.com/vi/1fcI46JkSZY/hqdefault.jpg,506,26,2025-06-17T06:43:27Z,AI,thumbnails/1fcI46JkSZY.jpg,5.0,2.0,39.8588773148148,18.4170240379239
ejQU71CPI7g,Indian Army baby saves bus from falling into ditch 😭 #ai #baby,22,28.0,3,40466019,https://i.ytimg.com/vi/ejQU71CPI7g/hqdefault.jpg,62,24,2025-06-19T13:32:57Z,AI,thumbnails/ejQU71CPI7g.jpg,3.0,2.0,80.0577719907408,34.320628373259
V4i5jPYv_7s,Real life vs AI. Part 7,23,13.0,7,36596950,https://i.ytimg.com/vi/V4i5jPYv_7s/hqdefault.jpg,76,18,2025-06-25T11:01:01Z,AI,thumbnails/V4i5jPYv_7s.jpg,2.0,1.0,72.0021585648148,26.618843183212
37xbso9HpRs,"Funny AI Men Dance-Off | Comedy Battle of Moves!"" #ai",22,57.0,0,29153443,https://i.ytimg.com/vi/37xbso9HpRs/hqdefault.jpg,397,29,2025-06-15T01:49:01Z,AI,thumbnails/37xbso9HpRs.jpg,0.0,0.0,75.3277777777778,74.4128408498562
sN8KrOWAI7c,#duck #funny #funnyduck  #ai #cuteduck,15,67.0,0,27541474,https://i.ytimg.com/vi/sN8KrOWAI7c/hqdefault.jpg,0,15,2025-06-29T04:00:06Z,AI,thumbnails/sN8KrOWAI7c.jpg,2.0,2.0,85.0660763888889,40.714497851382305
B4OW__4tOQY,"The little mermaid is infected, the puppy help 🌟#magic #ai #youtubeshorts",22,62.0,0,25200451,https://i.ytimg.com/vi/B4OW__4tOQY/hqdefault.jpg,252,30,2025-06-14T03:28:14Z,AI,thumbnails/B4OW__4tOQY.jpg,6.0,2.0,58.1440393518519,72.8223436470831
