video_id,title,category_id,video_duration,tags_count,views,thumbnail_link,description_length,time_duration,published_at,subscribers,keyword,thumbnail_path,object_complexity,element_complexity,brightness,colorfulness
mayHixeNKhc,🇮🇳 India VS 🇵🇰 Pakistan Big Fight Between Dogs #ai #india #pakistan,22,54.0,7,63183844,https://i.ytimg.com/vi/mayHixeNKhc/hqdefault.jpg,67,12,2025-07-04T03:36:00Z,2740000,AI,thumbnails/mayHixeNKhc.jpg,5,4,55.60015625,38.15177864927043
f7SF7tWQUuU,The Cat's Transformation，The Struggle of a Fat Cat #ai #cartoon#cat,22,53.0,0,54025518,https://i.ytimg.com/vi/f7SF7tWQUuU/hqdefault.jpg,25,12,2025-07-04T04:04:57Z,173000,AI,thumbnails/f7SF7tWQUuU.jpg,8,7,89.09784143518519,28.282790624598693
VDPp4mJkmHE,Every Day Dogs Waits… But She Never Came Back 😢#ai #dog #shorts,22,68.0,10,44450675,https://i.ytimg.com/vi/VDPp4mJkmHE/hqdefault.jpg,990,23,2025-06-22T17:26:31Z,420000,AI,thumbnails/VDPp4mJkmHE.jpg,6,4,55.803015046296295,37.74866004265928
Lgk3UGrijJI,Ronaldo Messi and ishowspeed Ai Edit Video 😂#ronaldo #messi #ishowspeed #fyp #story #edit #memes,24,6.0,15,100123681,https://i.ytimg.com/vi/Lgk3UGrijJI/hqdefault.jpg,1043,8,2025-07-08T06:36:47Z,48300,AI,thumbnails/Lgk3UGrijJI.jpg,13,2,76.32838541666666,47.85508932674889
1fcI46JkSZY,Heroic Pup Rescued The Baby | AI Rescue Story | #Rescue #Story #AI,15,74.0,5,40099750,https://i.ytimg.com/vi/1fcI46JkSZY/hqdefault.jpg,506,29,2025-06-17T06:43:27Z,180000,AI,thumbnails/1fcI46JkSZY.jpg,5,2,39.85887731481481,18.41702403792394
ejQU71CPI7g,Indian Army baby saves bus from falling into ditch 😭 #ai #baby,22,28.0,3,41013522,https://i.ytimg.com/vi/ejQU71CPI7g/hqdefault.jpg,62,27,2025-06-19T13:32:57Z,2130000,AI,thumbnails/ejQU71CPI7g.jpg,3,2,80.05777199074075,34.32062837325904
V4i5jPYv_7s,Real life vs AI. Part 7,23,13.0,7,37021703,https://i.ytimg.com/vi/V4i5jPYv_7s/hqdefault.jpg,76,21,2025-06-25T11:01:01Z,12900000,AI,thumbnails/V4i5jPYv_7s.jpg,2,1,72.00215856481482,26.618843183212036
sN8KrOWAI7c,#duck #funny #funnyduck  #ai #cuteduck,15,67.0,0,28732223,https://i.ytimg.com/vi/sN8KrOWAI7c/hqdefault.jpg,0,17,2025-06-29T04:00:06Z,120000,AI,thumbnails/sN8KrOWAI7c.jpg,2,2,85.06607638888889,40.714497851382255
2jAoy1K_h68,Alakh Niranjan | The Eternal Sound of the Formless Divine||#viralvideo #ai#shorts,22,6.0,10,47260823,https://i.ytimg.com/vi/2jAoy1K_h68/hqdefault.jpg,697,5,2025-07-11T02:48:29Z,27300,AI,thumbnails/2jAoy1K_h68.jpg,7,1,79.23851273148148,47.374317671066095
OhyHmBgVWDE,先輩に襟を正してもらう柔道家 #ai #judo #athlete #sports #かわいい #美女,22,6.0,0,35138313,https://i.ytimg.com/vi/OhyHmBgVWDE/hqdefault.jpg,0,20,2025-06-26T09:35:33Z,38100,AI,thumbnails/OhyHmBgVWDE.jpg,9,2,81.67009837962964,29.02306224606073
9ZSHKDXXZZQ,Indian Army baby saved the ship from time bomb 😭 #ai #army,22,32.0,3,19884881,https://i.ytimg.com/vi/9ZSHKDXXZZQ/hqdefault.jpg,58,26,2025-06-20T13:33:38Z,2130000,AI,thumbnails/9ZSHKDXXZZQ.jpg,8,1,83.66575810185185,41.23247250157266
L4bbtvLAtUA,Qurbani Mubarak 2025 🥰 #qurbani2025 #eid2025 #ai #trending #viralvideo #youtubeshorts #foryou #art,22,5.0,0,30010077,https://i.ytimg.com/vi/L4bbtvLAtUA/hqdefault.jpg,98,27,2025-06-19T08:29:24Z,153000,AI,thumbnails/L4bbtvLAtUA.jpg,5,3,69.18141782407407,38.35313515515984
R1BiHSrQAGU,Heroic Pup Rescued The Baby From Flash Flood | AI Rescue Story | #Rescue #Story #AI,15,61.0,5,18899948,https://i.ytimg.com/vi/R1BiHSrQAGU/hqdefault.jpg,506,15,2025-07-01T16:11:11Z,180000,AI,thumbnails/R1BiHSrQAGU.jpg,2,1,74.9768113425926,17.97964148081379
d1k0s_qFiwo,The Smile 😍 / Beautiful Modeling Girl/ Ai Girl Saree Model video 💫💫,22,7.0,8,21781445,https://i.ytimg.com/vi/d1k0s_qFiwo/hqdefault.jpg,92,28,2025-06-17T17:29:39Z,60900,AI,thumbnails/d1k0s_qFiwo.jpg,3,1,63.168958333333336,26.198809070809133
9JRrIUYtoKc,Cutest 'Alo Mama'Ever 63.0 #shorts #ai #baby,22,6.0,0,23146741,https://i.ytimg.com/vi/9JRrIUYtoKc/hqdefault.jpg,0,16,2025-06-30T12:58:08Z,10000,AI,thumbnails/9JRrIUYtoKc.jpg,5,3,99.29607060185184,76.6975920158975
0nr6w9PXLYg,Heroic Pup Rescued The Baby | AI Rescue Story | #Rescue #Story #AI,15,71.0,5,12311349,https://i.ytimg.com/vi/0nr6w9PXLYg/hqdefault.jpg,506,10,2025-07-06T15:50:59Z,180000,AI,thumbnails/0nr6w9PXLYg.jpg,3,3,91.22618055555556,25.734774656502772
ARFQdGPMmLQ,🔥 MARVEL IN KERALA #veo3 #avengers #ai,22,17.0,17,14525381,https://i.ytimg.com/vi/ARFQdGPMmLQ/hqdefault.jpg,181,24,2025-06-22T06:44:48Z,32000,AI,thumbnails/ARFQdGPMmLQ.jpg,5,2,35.774033564814815,19.24706323137637
giT0ytynSqg,"Godfather of AI: I Tried to Warn Them, But We’ve Already Lost Control! Geoffrey Hinton",22,5408.0,6,6840533,https://i.ytimg.com/vi/giT0ytynSqg/hqdefault.jpg,2964,30,2025-06-16T07:00:44Z,11200000,AI,thumbnails/giT0ytynSqg.jpg,2,1,59.09122685185185,56.68983442800056
cA0fwJ5o3kA,The dog ate ants along with cake #shorts #ai #dog #puppy #icecream #cake,22,35.0,15,11390986,https://i.ytimg.com/vi/cA0fwJ5o3kA/hqdefault.jpg,716,28,2025-06-18T00:57:00Z,1200000,AI,thumbnails/cA0fwJ5o3kA.jpg,4,3,57.52699074074074,35.48127704890252
C8Hm5R8ntZM,Top 4 Best Grow a Garden AI Videos (PT.3) 😂,22,35.0,0,10532808,https://i.ytimg.com/vi/C8Hm5R8ntZM/hqdefault.jpg,52,22,2025-06-24T16:23:55Z,37400,AI,thumbnails/C8Hm5R8ntZM.jpg,2,2,28.624189814814816,33.041607271303974
ET5hAGzqJ-0,Parrots Builds their Diomond house 😱 #parrot #ai,1,18.0,0,12686843,https://i.ytimg.com/vi/ET5hAGzqJ-0/hqdefault.jpg,545,11,2025-07-05T11:04:58Z,149000,AI,thumbnails/ET5hAGzqJ-0.jpg,2,1,75.82285300925926,40.61126901306481
t-oLGxzHyWQ,Drive Thru A.I. Robot Prank,24,1084.0,0,5815139,https://i.ytimg.com/vi/t-oLGxzHyWQ/hqdefault.jpg,746,16,2025-06-30T17:14:17Z,16500000,AI,thumbnails/t-oLGxzHyWQ.jpg,5,4,84.69001736111112,55.60392351762555
WMukJ-Z2TrE,#cartoon #cutecat #kitten #cute #funny #videos #animals #animation #cat #ai #cats #video,22,61.0,0,8888226,https://i.ytimg.com/vi/WMukJ-Z2TrE/hqdefault.jpg,0,10,2025-07-06T09:00:45Z,44000,AI,thumbnails/WMukJ-Z2TrE.jpg,7,4,73.26941550925926,38.1782932501757
ABJQllCgFVQ,How we treated AI in 2023 vs 2025 #whiplash #ai #skit #comedy #chatgpt #parody #funny #meme,24,131.0,24,9778935,https://i.ytimg.com/vi/ABJQllCgFVQ/hqdefault.jpg,1006,5,2025-07-10T19:00:08Z,2970000,AI,thumbnails/ABJQllCgFVQ.jpg,2,1,47.13300925925926,31.16378526044321
aQiPiGAj954,Ep.2 Lucky Accident | Brainrot Squid Game | #ruinedbyai #funny #squidgame3 #player222 #ai #Shorts,24,14.0,24,12649853,https://i.ytimg.com/vi/aQiPiGAj954/hqdefault.jpg,273,11,2025-07-05T16:27:17Z,19700,AI,thumbnails/aQiPiGAj954.jpg,6,4,73.04491898148149,46.66932834631035
MeEDGvXQFTM,The flying journey of two robot babies.#cute #jesus #shorts #ai,24,94.0,0,8785559,https://i.ytimg.com/vi/MeEDGvXQFTM/hqdefault.jpg,256,6,2025-07-10T10:50:44Z,1370000,AI,thumbnails/MeEDGvXQFTM.jpg,5,3,61.77318865740741,33.52064110845057
VvztPhSjHrs,Is the VIRAL AI LAVA trend worth the hype?,24,24.0,0,10647355,https://i.ytimg.com/vi/VvztPhSjHrs/hqdefault.jpg,826,10,2025-07-05T19:42:46Z,2800000,AI,thumbnails/VvztPhSjHrs.jpg,5,4,65.75111111111111,68.15432201332985
